Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
01/02/07,0:00:00,0.326,0.128,243.15,1.4,0,0,0
01/02/07,0:01:00,0.326,0.13,243.32,1.4,0,0,0
01/02/07,0:02:00,0.324,0.132,243.51,1.4,0,0,0
01/02/07,0:03:00,0.324,0.134,243.9,1.4,0,0,0
01/02/07,0:04:00,0.322,0.13,243.16,1.4,0,0,0
01/02/07,0:05:00,0.32,0.126,242.29,1.4,0,0,0
01/02/07,0:06:00,0.32,0.126,242.46,1.4,0,0,0
01/02/07,0:07:00,0.32,0.126,242.63,1.4,0,0,0
01/02/07,0:08:00,0.32,0.128,242.7,1.4,0,0,0
01/02/07,0:09:00,0.236,0,242.89,1,0,0,0
01/02/07,0:10:00,0.226,0,243,1,0,0,0
01/02/07,0:11:00,0.224,0,242.5,1,0,0,0
01/02/07,0:12:00,0.224,0,242.18,1,0,0,0
01/02/07,0:13:00,0.224,0,242.15,1,0,0,0
01/02/07,0:14:00,0.224,0,242.73,1,0,0,0
01/02/07,0:15:00,0.26,0,242.85,1.2,0,0,0
01/02/07,0:16:00,0.304,0.096,242.89,1.2,0,0,0
01/02/07,0:17:00,0.302,0.096,242.87,1.2,0,0,0
01/02/07,0:18:00,0.302,0.094,242.19,1.2,0,0,0
01/02/07,0:19:00,0.3,0.094,242.23,1.2,0,0,0
01/02/07,0:20:00,0.3,0.094,242.16,1.2,0,0,0
01/02/07,0:21:00,0.298,0.094,242.29,1.2,0,0,0
01/02/07,0:22:00,0.298,0.094,242.47,1.2,0,0,0
01/02/07,0:23:00,0.296,0.094,242.32,1.2,0,0,0
01/02/07,0:24:00,0.296,0.096,242.98,1.2,0,0,0
01/02/07,0:25:00,0.298,0.1,243.65,1.2,0,0,0
01/02/07,0:26:00,0.228,0,243.55,1,0,0,0
01/02/07,0:27:00,0.226,0,243.11,1,0,0,0
01/02/07,0:28:00,0.226,0,243.09,1,0,0,0
01/02/07,0:29:00,0.226,0,243.05,1,0,0,0
01/02/07,0:30:00,0.226,0,243.22,1,0,0,0
01/02/07,0:31:00,0.226,0,243.37,1,0,0,0
01/02/07,0:32:00,0.226,0,243.14,1,0,0,0
01/02/07,0:33:00,0.226,0,243.12,1,0,0,0
01/02/07,0:34:00,0.322,0.094,242.74,1.4,0,0,0
01/02/07,0:35:00,0.336,0.126,242.59,1.4,0,0,0
01/02/07,0:36:00,0.332,0.126,242.91,1.4,0,0,0
01/02/07,0:37:00,0.332,0.13,243.51,1.4,0,0,0
01/02/07,0:38:00,0.33,0.13,243.65,1.4,0,0,0
01/02/07,0:39:00,0.328,0.128,243.37,1.4,0,0,0
01/02/07,0:40:00,0.328,0.13,243.79,1.4,0,0,0
01/02/07,0:41:00,0.326,0.128,243.23,1.4,0,0,0
01/02/07,0:42:00,0.324,0.126,242.98,1.4,0,0,0
01/02/07,0:43:00,0.322,0.126,242.95,1.4,0,0,0
01/02/07,0:44:00,0.322,0.124,242.6,1.4,0,0,0
01/02/07,0:45:00,0.322,0.128,243.33,1.4,0,0,0
01/02/07,0:46:00,0.318,0.118,241.32,1.4,0,0,0
01/02/07,0:47:00,0.316,0.116,240.93,1.4,0,0,0
01/02/07,0:48:00,0.316,0.116,240.93,1.4,0,0,0
01/02/07,0:49:00,0.274,0.058,240.36,1.2,0,0,0
01/02/07,0:50:00,0.222,0,240.93,1,0,0,0
01/02/07,0:51:00,0.222,0,240.83,1,0,0,0
01/02/07,0:52:00,0.222,0,240.52,1,0,0,0
01/02/07,0:53:00,0.224,0,241.45,1,0,0,0
01/02/07,0:54:00,0.224,0,241.59,1,0,0,0
01/02/07,0:55:00,0.226,0,242.55,1,0,0,0
01/02/07,0:56:00,0.226,0,242.88,1,0,0,0
01/02/07,0:57:00,0.226,0,242.63,1,0,0,0
01/02/07,0:58:00,0.224,0,242.2,1,0,0,0
01/02/07,0:59:00,0.224,0,241.84,1,0,0,0
01/02/07,1:00:00,0.222,0,240.89,1,0,0,0
01/02/07,1:01:00,0.222,0,240.86,1,0,0,0
01/02/07,1:02:00,0.26,0,240.64,1.2,0,0,0
01/02/07,1:03:00,0.298,0.088,240.72,1.2,0,0,0
01/02/07,1:04:00,0.302,0.094,242.18,1.2,0,0,0
01/02/07,1:05:00,0.302,0.096,242.66,1.2,0,0,0
01/02/07,1:06:00,0.302,0.096,242.77,1.2,0,0,0
01/02/07,1:07:00,0.3,0.096,242.6,1.2,0,0,0
01/02/07,1:08:00,0.298,0.094,242.38,1.2,0,0,0
01/02/07,1:09:00,0.298,0.094,242.21,1.2,0,0,0
01/02/07,1:10:00,0.296,0.096,242.61,1.2,0,0,0
01/02/07,1:11:00,0.296,0.094,242.24,1.2,0,0,0
01/02/07,1:12:00,0.258,0,242.66,1,0,0,0
01/02/07,1:13:00,0.226,0,242.99,1,0,0,0
01/02/07,1:14:00,0.228,0,243.53,1,0,0,0
01/02/07,1:15:00,0.316,0.088,243.12,1.4,0,0,0
01/02/07,1:16:00,0.434,0.252,242.83,2.2,0,0,0
01/02/07,1:17:00,0.418,0.254,243.08,2,0,2,0
01/02/07,1:18:00,0.414,0.254,243.35,2,0,1,0
01/02/07,1:19:00,0.412,0.252,242.71,2,0,1,0
01/02/07,1:20:00,0.41,0.246,241.63,2,0,2,0
01/02/07,1:21:00,0.408,0.246,241.86,2,0,1,0
01/02/07,1:22:00,0.408,0.248,242.17,2,0,2,0
01/02/07,1:23:00,0.404,0.244,241.7,2,0,1,0
01/02/07,1:24:00,0.402,0.242,241.14,1.8,0,1,0
01/02/07,1:25:00,0.402,0.244,241.41,1.8,0,2,0
01/02/07,1:26:00,0.402,0.246,241.95,1.8,0,1,0
01/02/07,1:27:00,0.402,0.248,242.36,1.8,0,2,0
01/02/07,1:28:00,0.402,0.25,242.6,1.8,0,1,0
01/02/07,1:29:00,0.398,0.246,242.11,1.8,0,1,0
01/02/07,1:30:00,0.336,0.156,241.88,1.6,0,2,0
