"Date" "Time" "Global_active_power" "Global_reactive_power" "Voltage" "Global_intensity" "Sub_metering_1" "Sub_metering_2" "Sub_metering_3"
"66637" "1/2/2007" "00:00:00" "0.326" "0.128" "243.150" "1.400" "0.000" "0.000" 0
"66638" "1/2/2007" "00:01:00" "0.326" "0.130" "243.320" "1.400" "0.000" "0.000" 0
"66639" "1/2/2007" "00:02:00" "0.324" "0.132" "243.510" "1.400" "0.000" "0.000" 0
"66640" "1/2/2007" "00:03:00" "0.324" "0.134" "243.900" "1.400" "0.000" "0.000" 0
"66641" "1/2/2007" "00:04:00" "0.322" "0.130" "243.160" "1.400" "0.000" "0.000" 0
"66642" "1/2/2007" "00:05:00" "0.320" "0.126" "242.290" "1.400" "0.000" "0.000" 0
"66643" "1/2/2007" "00:06:00" "0.320" "0.126" "242.460" "1.400" "0.000" "0.000" 0
"66644" "1/2/2007" "00:07:00" "0.320" "0.126" "242.630" "1.400" "0.000" "0.000" 0
"66645" "1/2/2007" "00:08:00" "0.320" "0.128" "242.700" "1.400" "0.000" "0.000" 0
"66646" "1/2/2007" "00:09:00" "0.236" "0.000" "242.890" "1.000" "0.000" "0.000" 0
"66647" "1/2/2007" "00:10:00" "0.226" "0.000" "243.000" "1.000" "0.000" "0.000" 0
"66648" "1/2/2007" "00:11:00" "0.224" "0.000" "242.500" "1.000" "0.000" "0.000" 0
"66649" "1/2/2007" "00:12:00" "0.224" "0.000" "242.180" "1.000" "0.000" "0.000" 0
"66650" "1/2/2007" "00:13:00" "0.224" "0.000" "242.150" "1.000" "0.000" "0.000" 0
"66651" "1/2/2007" "00:14:00" "0.224" "0.000" "242.730" "1.000" "0.000" "0.000" 0
"66652" "1/2/2007" "00:15:00" "0.260" "0.000" "242.850" "1.200" "0.000" "0.000" 0
"66653" "1/2/2007" "00:16:00" "0.304" "0.096" "242.890" "1.200" "0.000" "0.000" 0
"66654" "1/2/2007" "00:17:00" "0.302" "0.096" "242.870" "1.200" "0.000" "0.000" 0
