"","Date","Time","GlobalActivePower","GlobalReactivePower","Voltage","GlobalIntensity","SubMeteringKitchen","SubMeteringLaundry","SubMeteringWaterHeater"
"66637",2007-02-01,"00:00:00",0.326,0.128,243.15,1.4,0,0,0
"66638",2007-02-01,"00:01:00",0.326,0.13,243.32,1.4,0,0,0
"66639",2007-02-01,"00:02:00",0.324,0.132,243.51,1.4,0,0,0
"66640",2007-02-01,"00:03:00",0.324,0.134,243.9,1.4,0,0,0
"66641",2007-02-01,"00:04:00",0.322,0.13,243.16,1.4,0,0,0
"66642",2007-02-01,"00:05:00",0.32,0.126,242.29,1.4,0,0,0
"66643",2007-02-01,"00:06:00",0.32,0.126,242.46,1.4,0,0,0
"66644",2007-02-01,"00:07:00",0.32,0.126,242.63,1.4,0,0,0
"66645",2007-02-01,"00:08:00",0.32,0.128,242.7,1.4,0,0,0
"66646",2007-02-01,"00:09:00",0.236,0,242.89,1,0,0,0
"66647",2007-02-01,"00:10:00",0.226,0,243,1,0,0,0
"66648",2007-02-01,"00:11:00",0.224,0,242.5,1,0,0,0
"66649",2007-02-01,"00:12:00",0.224,0,242.18,1,0,0,0
"66650",2007-02-01,"00:13:00",0.224,0,242.15,1,0,0,0
"66651",2007-02-01,"00:14:00",0.224,0,242.73,1,0,0,0
"66652",2007-02-01,"00:15:00",0.26,0,242.85,1.2,0,0,0
"66653",2007-02-01,"00:16:00",0.304,0.096,242.89,1.2,0,0,0
"66654",2007-02-01,"00:17:00",0.302,0.096,242.87,1.2,0,0,0
"66655",2007-02-01,"00:18:00",0.302,0.094,242.19,1.2,0,0,0
"66656",2007-02-01,"00:19:00",0.3,0.094,242.23,1.2,0,0,0
"66657",2007-02-01,"00:20:00",0.3,0.094,242.16,1.2,0,0,0
"66658",2007-02-01,"00:21:00",0.298,0.094,242.29,1.2,0,0,0
"66659",2007-02-01,"00:22:00",0.298,0.094,242.47,1.2,0,0,0
"66660",2007-02-01,"00:23:00",0.296,0.094,242.32,1.2,0,0,0
"66661",2007-02-01,"00:24:00",0.296,0.096,242.98,1.2,0,0,0
"66662",2007-02-01,"00:25:00",0.298,0.1,243.65,1.2,0,0,0
"66663",2007-02-01,"00:26:00",0.228,0,243.55,1,0,0,0
"66664",2007-02-01,"00:27:00",0.226,0,243.11,1,0,0,0
"66665",2007-02-01,"00:28:00",0.226,0,243.09,1,0,0,0
"66666",2007-02-01,"00:29:00",0.226,0,243.05,1,0,0,0
"66667",2007-02-01,"00:30:00",0.226,0,243.22,1,0,0,0
"66668",2007-02-01,"00:31:00",0.226,0,243.37,1,0,0,0
"66669",2007-02-01,"00:32:00",0.226,0,243.14,1,0,0,0
"66670",2007-02-01,"00:33:00",0.226,0,243.12,1,0,0,0
"66671",2007-02-01,"00:34:00",0.322,0.094,242.74,1.4,0,0,0
"66672",2007-02-01,"00:35:00",0.336,0.126,242.59,1.4,0,0,0
"66673",2007-02-01,"00:36:00",0.332,0.126,242.91,1.4,0,0,0
"66674",2007-02-01,"00:37:00",0.332,0.13,243.51,1.4,0,0,0
"66675",2007-02-01,"00:38:00",0.33,0.13,243.65,1.4,0,0,0
"66676",2007-02-01,"00:39:00",0.328,0.128,243.37,1.4,0,0,0
"66677",2007-02-01,"00:40:00",0.328,0.13,243.79,1.4,0,0,0
"66678",2007-02-01,"00:41:00",0.326,0.128,243.23,1.4,0,0,0
"66679",2007-02-01,"00:42:00",0.324,0.126,242.98,1.4,0,0,0
"66680",2007-02-01,"00:43:00",0.322,0.126,242.95,1.4,0,0,0
"66681",2007-02-01,"00:44:00",0.322,0.124,242.6,1.4,0,0,0
"66682",2007-02-01,"00:45:00",0.322,0.128,243.33,1.4,0,0,0
"66683",2007-02-01,"00:46:00",0.318,0.118,241.32,1.4,0,0,0
"66684",2007-02-01,"00:47:00",0.316,0.116,240.93,1.4,0,0,0
"66685",2007-02-01,"00:48:00",0.316,0.116,240.93,1.4,0,0,0
"66686",2007-02-01,"00:49:00",0.274,0.058,240.36,1.2,0,0,0
"66687",2007-02-01,"00:50:00",0.222,0,240.93,1,0,0,0
"66688",2007-02-01,"00:51:00",0.222,0,240.83,1,0,0,0
"66689",2007-02-01,"00:52:00",0.222,0,240.52,1,0,0,0
"66690",2007-02-01,"00:53:00",0.224,0,241.45,1,0,0,0
"66691",2007-02-01,"00:54:00",0.224,0,241.59,1,0,0,0
"66692",2007-02-01,"00:55:00",0.226,0,242.55,1,0,0,0
"66693",2007-02-01,"00:56:00",0.226,0,242.88,1,0,0,0
"66694",2007-02-01,"00:57:00",0.226,0,242.63,1,0,0,0
"66695",2007-02-01,"00:58:00",0.224,0,242.2,1,0,0,0
"66696",2007-02-01,"00:59:00",0.224,0,241.84,1,0,0,0
"66697",2007-02-01,"01:00:00",0.222,0,240.89,1,0,0,0
"66698",2007-02-01,"01:01:00",0.222,0,240.86,1,0,0,0
"66699",2007-02-01,"01:02:00",0.26,0,240.64,1.2,0,0,0
"66700",2007-02-01,"01:03:00",0.298,0.088,240.72,1.2,0,0,0
"66701",2007-02-01,"01:04:00",0.302,0.094,242.18,1.2,0,0,0
"66702",2007-02-01,"01:05:00",0.302,0.096,242.66,1.2,0,0,0
"66703",2007-02-01,"01:06:00",0.302,0.096,242.77,1.2,0,0,0
